user_id,timestamp,channel,campaign,conversion,revenue
user_0,2023-02-21 07:00:00,Direct,Fall_Discount,0,0.0
user_0,2023-02-22 22:00:00,Social,Fall_Discount,0,0.0
user_0,2023-02-23 07:00:00,Direct,Winter_Special,0,0.0
user_0,2023-02-24 23:00:00,Direct,Summer_Promo,0,0.0
user_0,2023-02-25 20:00:00,Social,Winter_Special,0,0.0
user_0,2023-02-26 11:00:00,Social,Always_On,1,6.83
user_1,2023-02-13 02:00:00,Display,Spring_Sale,0,0.0
user_1,2023-02-14 06:00:00,Direct,Spring_Sale,1,128.1
user_10,2023-02-01 16:00:00,Search,Winter_Special,0,0.0
user_10,2023-02-02 11:00:00,Social,Winter_Special,0,0.0
user_10,2023-02-03 16:00:00,Social,Fall_Discount,0,0.0
user_10,2023-02-04 16:00:00,Search,Fall_Discount,0,0.0
user_10,2023-02-05 00:00:00,Display,Always_On,0,0.0
user_10,2023-02-06 11:00:00,Social,Always_On,0,0.0
user_100,2023-02-13 07:00:00,Email,Always_On,0,0.0
user_100,2023-02-14 21:00:00,Social,Fall_Discount,0,0.0
user_100,2023-02-15 21:00:00,Social,Fall_Discount,0,0.0
user_100,2023-02-16 05:00:00,Display,Summer_Promo,0,0.0
user_100,2023-02-17 07:00:00,Social,Winter_Special,0,0.0
user_1000,2023-01-20 07:00:00,Display,Fall_Discount,0,0.0
user_1001,2023-01-23 12:00:00,Direct,Winter_Special,0,0.0
user_1002,2023-01-11 17:00:00,Direct,Summer_Promo,0,0.0
user_1002,2023-01-12 02:00:00,Direct,Always_On,0,0.0
user_1002,2023-01-13 11:00:00,Direct,Always_On,1,146.48
user_1003,2023-01-11 15:00:00,Social,Always_On,0,0.0
user_1003,2023-01-12 09:00:00,Email,Fall_Discount,0,0.0
user_1003,2023-01-13 09:00:00,Social,Spring_Sale,0,0.0
user_1003,2023-01-14 02:00:00,Email,Summer_Promo,0,0.0
user_1003,2023-01-15 02:00:00,Email,Summer_Promo,0,0.0
user_1003,2023-01-16 23:00:00,Display,Summer_Promo,0,0.0
user_1003,2023-01-17 01:00:00,Social,Fall_Discount,0,0.0
user_1003,2023-01-18 06:00:00,Email,Always_On,0,0.0
user_1003,2023-01-19 09:00:00,Social,Winter_Special,0,0.0
user_1003,2023-01-20 20:00:00,Email,Spring_Sale,0,0.0
user_1004,2023-01-07 17:00:00,Display,Always_On,0,0.0
user_1004,2023-01-08 11:00:00,Search,Summer_Promo,0,0.0
user_1004,2023-01-09 03:00:00,Email,Always_On,0,0.0
user_1004,2023-01-10 09:00:00,Email,Always_On,0,0.0
user_1004,2023-01-11 23:00:00,Display,Winter_Special,0,0.0
user_1004,2023-01-12 18:00:00,Display,Fall_Discount,0,0.0
user_1004,2023-01-13 08:00:00,Social,Always_On,0,0.0
user_1004,2023-01-14 13:00:00,Email,Fall_Discount,0,0.0
user_1004,2023-01-15 01:00:00,Display,Winter_Special,0,0.0
user_1004,2023-01-16 17:00:00,Direct,Winter_Special,0,0.0
user_1005,2023-02-14 12:00:00,Social,Spring_Sale,0,0.0
user_1005,2023-02-15 17:00:00,Email,Winter_Special,1,110.88
user_1006,2023-02-19 05:00:00,Email,Summer_Promo,0,0.0
user_1006,2023-02-20 03:00:00,Display,Winter_Special,0,0.0
user_1006,2023-02-21 08:00:00,Direct,Summer_Promo,0,0.0
user_1006,2023-02-22 13:00:00,Email,Spring_Sale,0,0.0
